UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
101277,"R",71,"R",0,"R",71,"R",27,"R",56,"R",0,"R",0,"R",15,"R",59,"Z",0,"R",59,"R",49,"R",3,"Z",0,"R",3,"R",3,"R",9,"Z",0,"R",9,"R",4
102711,"R",189,"R",0,"R",189,"R",181,"R",181,"R",0,"R",0,"R",8,"R",68,"Z",0,"R",68,"R",68,"R",44,"Z",0,"R",44,"R",44,"R",77,"Z",0,"R",77,"R",69
103741,"R",40,"R",0,"R",40,"R",0,"R",23,"R",0,"R",2,"R",15,"R",34,"Z",0,"R",34,"R",20,"R",4,"Z",0,"R",4,"R",2,"R",2,"Z",0,"R",2,"R",1
103954,"R",14,"R",0,"R",14,"R",4,"R",8,"R",0,"R",0,"R",6,"R",14,"Z",0,"R",14,"R",8,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
103963,"R",499,"R",0,"R",499,"R",206,"R",238,"R",0,"R",40,"R",221,"R",264,"Z",0,"R",264,"R",149,"R",39,"Z",0,"R",39,"R",33,"R",196,"Z",0,"R",196,"R",56
104391,"R",41,"R",1,"R",40,"R",8,"R",28,"R",0,"R",0,"R",12,"R",24,"R",0,"R",24,"R",24,"R",3,"R",0,"R",3,"R",3,"R",14,"R",1,"R",13,"R",1
104434,"R",16,"R",0,"R",16,"R",0,"R",11,"R",0,"R",0,"R",5,"R",12,"Z",0,"R",12,"R",8,"R",1,"Z",0,"R",1,"R",1,"R",3,"Z",0,"R",3,"R",2
104443,"R",23,"R",0,"R",23,"R",0,"R",7,"R",0,"R",0,"R",16,"R",21,"Z",0,"R",21,"R",6,"R",2,"Z",0,"R",2,"R",1,"R",0,"Z",0,"R",0,"R",0
104568,"R",120,"R",0,"R",120,"R",79,"R",86,"R",0,"R",34,"R",0,"R",82,"Z",0,"R",82,"R",68,"R",9,"Z",0,"R",9,"R",8,"R",29,"Z",0,"R",29,"R",10
105215,"R",467,"R",3,"R",464,"R",183,"R",321,"R",3,"R",0,"R",140,"R",286,"R",3,"R",283,"R",178,"R",93,"R",0,"R",93,"R",68,"R",88,"R",0,"R",88,"R",75
105677,"R",19,"R",0,"R",19,"R",18,"R",18,"R",0,"R",0,"R",1,"R",6,"Z",0,"R",6,"R",6,"R",6,"Z",0,"R",6,"R",6,"R",7,"Z",0,"R",7,"R",6
106111,"R",52,"R",0,"R",52,"R",0,"R",25,"R",0,"R",0,"R",27,"R",51,"Z",0,"R",51,"R",24,"R",1,"Z",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",0
106315,"R",3,"R",0,"R",3,"R",1,"R",3,"R",0,"R",0,"R",0,"R",3,"Z",0,"R",3,"R",3,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
106324,"R",28,"R",0,"R",28,"R",2,"R",18,"R",0,"R",0,"R",10,"R",12,"Z",0,"R",12,"R",12,"R",3,"Z",0,"R",3,"R",3,"R",13,"Z",0,"R",13,"R",3
106351,"R",4,"R",0,"R",4,"R",3,"R",3,"R",0,"Z",0,"R",1,"R",1,"Z",0,"R",1,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",3,"Z",0,"R",3,"R",3
106360,"R",27,"R",0,"R",27,"R",1,"R",13,"R",0,"R",7,"R",7,"R",25,"Z",0,"R",25,"R",12,"R",0,"Z",0,"R",0,"R",0,"R",2,"Z",0,"R",2,"R",1
106494,"R",34,"R",0,"R",34,"R",4,"R",16,"R",0,"R",15,"R",3,"R",25,"Z",0,"R",25,"R",10,"R",3,"Z",0,"R",3,"R",2,"R",6,"Z",0,"R",6,"R",4
106892,"R",274,"Z",0,"R",274,"R",134,"R",189,"Z",0,"Z",0,"R",85,"R",232,"Z",0,"R",232,"R",162,"R",32,"Z",0,"R",32,"R",19,"R",10,"Z",0,"R",10,"R",8
106908,"R",148,"R",0,"R",148,"R",17,"R",98,"Z",0,"Z",0,"R",50,"R",113,"Z",0,"R",113,"R",66,"R",25,"Z",0,"R",25,"R",23,"R",10,"Z",0,"R",10,"R",9
107099,"R",8,"R",0,"R",8,"R",5,"R",5,"R",0,"R",0,"R",3,"R",7,"Z",0,"R",7,"R",4,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1
107220,"R",255,"R",0,"R",255,"R",89,"R",163,"R",3,"R",0,"R",89,"R",202,"Z",0,"R",202,"R",118,"R",23,"Z",0,"R",23,"R",15,"R",30,"Z",0,"R",30,"R",30
107293,"R",31,"R",0,"R",31,"R",1,"R",11,"R",4,"R",2,"R",14,"R",31,"Z",0,"R",31,"R",11,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
107442,"R",23,"R",0,"R",23,"R",3,"R",18,"R",0,"R",0,"R",5,"R",22,"Z",0,"R",22,"R",18,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",0
107488,"R",231,"R",2,"R",229,"R",40,"R",150,"R",5,"R",50,"R",24,"R",71,"R",1,"R",70,"R",66,"R",0,"R",0,"R",0,"R",0,"R",160,"R",1,"R",159,"R",84
107655,"R",5,"R",0,"R",5,"R",2,"R",3,"R",0,"R",0,"R",2,"R",5,"Z",0,"R",5,"R",3,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
107789,"R",41,"R",0,"R",41,"R",4,"R",32,"R",0,"R",0,"R",9,"R",28,"Z",0,"R",28,"R",20,"R",9,"Z",0,"R",9,"R",8,"R",4,"Z",0,"R",4,"R",4
107831,"R",28,"R",0,"R",28,"R",2,"R",8,"R",0,"R",0,"R",20,"R",25,"Z",0,"R",25,"R",7,"R",2,"Z",0,"R",2,"R",0,"R",1,"Z",0,"R",1,"R",1
108065,"R",21,"R",0,"R",21,"R",15,"R",17,"R",0,"R",0,"R",4,"R",21,"Z",0,"R",21,"R",17,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
108649,"R",67,"R",0,"R",67,"R",38,"R",45,"R",0,"R",0,"R",22,"R",36,"Z",0,"R",36,"R",16,"R",5,"Z",0,"R",5,"R",3,"R",26,"Z",0,"R",26,"R",26
108977,"R",32,"R",1,"R",31,"R",13,"R",15,"R",0,"R",0,"R",16,"R",10,"R",0,"R",10,"R",9,"R",1,"R",0,"R",1,"R",0,"R",21,"R",1,"R",20,"R",6
109721,"R",461,"R",0,"R",461,"R",180,"R",241,"R",0,"R",0,"R",220,"R",387,"Z",0,"R",387,"R",235,"R",8,"Z",0,"R",8,"R",0,"R",66,"Z",0,"R",66,"R",6
109730,"R",113,"R",0,"R",113,"R",78,"R",81,"R",0,"R",0,"R",32,"R",113,"Z",0,"R",113,"R",81,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
110194,"R",224,"R",1,"R",223,"R",175,"R",189,"R",0,"R",0,"R",34,"R",178,"R",1,"R",177,"R",146,"R",27,"R",0,"R",27,"R",27,"R",19,"R",0,"R",19,"R",16
110875,"R",34,"R",0,"R",34,"R",9,"R",25,"R",0,"R",0,"R",9,"R",25,"Z",0,"R",25,"R",17,"R",5,"Z",0,"R",5,"R",5,"R",4,"Z",0,"R",4,"R",3
111054,"R",74,"R",1,"R",73,"R",4,"R",47,"R",9,"R",0,"R",17,"R",50,"R",1,"R",49,"R",29,"R",9,"R",0,"R",9,"R",5,"R",15,"R",0,"R",15,"R",13
111513,"R",59,"R",0,"R",59,"R",40,"R",47,"R",0,"R",0,"R",12,"R",28,"Z",0,"R",28,"R",20,"R",6,"Z",0,"R",6,"R",5,"R",25,"Z",0,"R",25,"R",22
111708,"R",161,"R",1,"R",160,"R",17,"R",109,"R",0,"R",1,"R",50,"R",103,"R",1,"R",102,"R",65,"R",5,"R",0,"R",5,"R",4,"R",53,"R",0,"R",53,"R",40
111717,"R",188,"Z",0,"R",188,"R",20,"R",134,"Z",0,"R",1,"R",53,"R",128,"Z",0,"R",128,"R",94,"R",13,"Z",0,"R",13,"R",9,"R",47,"Z",0,"R",47,"R",31
