institution,instnm,city,institution_state,inst_level,fips
1,Institutions in New England Division,,,D,
2,Institutions in Middle Atlantic Division,,,D,
3,Institutions in East North Central Division,,,D,
4,Institutions in West North Central Division,,,D,
5,Institutions in South Atlantic Division,,,D,
6,Institutions in East South Central Division,,,D,
7,Institutions in West South Central Division,,,D,
8,Institutions in Mountain Division,,,D,
9,Institutions in Pacific Division,,,D,
9,Institutions in Connecticut,,,S,9
23,Institutions in Maine,,,S,23
25,Institutions in Massachusetts,,,S,25
33,Institutions in New Hampshire,,,S,33
44,Institutions in Rhode Island,,,S,44
50,Institutions in Vermont,,,S,50
34,Institutions in New Jersey,,,S,34
36,Institutions in New York,,,S,36
42,Institutions in Pennsylvania,,,S,42
17,Institutions in Illinois,,,S,17
18,Institutions in Indiana,,,S,18
26,Institutions in Michigan,,,S,26
39,Institutions in Ohio,,,S,39
55,Institutions in Wisconsin,,,S,55
19,Institutions in Iowa,,,S,19
20,Institutions in Kansas,,,S,20
27,Institutions in Minnesota,,,S,27
29,Institutions in Missouri,,,S,29
31,Institutions in Nebraska,,,S,31
38,Institutions in North Dakota,,,S,38
46,Institutions in South Dakota,,,S,46
10,Institutions in Delaware,,,S,10
11,Institutions in District of Columbia,,,S,11
12,Institutions in Florida,,,S,12
13,Institutions in Georgia,,,S,13
24,Institutions in Maryland,,,S,24
37,Institutions in North Carolina,,,S,37
45,Institutions in South Carolina,,,S,45
51,Institutions in Virginia,,,S,51
54,Institutions in West Virginia,,,S,54
1,Institutions in Alabama,,,S,1
21,Institutions in Kentucky,,,S,21
28,Institutions in Mississippi,,,S,28
47,Institutions in Tennessee,,,S,47
5,Institutions in Arkansas,,,S,5
22,Institutions in Louisiana,,,S,22
40,Institutions in Oklahoma,,,S,40
48,Institutions in Texas,,,S,48
4,Institutions in Arizona,,,S,4
8,Institutions in Colorado,,,S,8
16,Institutions in Idaho,,,S,16
30,Institutions in Montana,,,S,30
32,Institutions in Nevada,,,S,32
35,Institutions in New Mexico,,,S,35
49,Institutions in Utah,,,S,49
56,Institutions in Wyoming,,,S,56
2,Institutions in Alaska,,,S,2
6,Institutions in California,,,S,6
